QUESTION,BT LEVEL
"In your opinion, which parental group selected will give a higher gain in Kaseem's breeding programme. Show the calculation and justify your answer. ",Evaluation
"Referring to the given poster design, explain in details the usage of elements and principles of arts. ",Comprehension
Suggest and describe an assisted reproductive technique that the farm should use for rapid and cost effective production. ,Synthesis
Draw the energy band diagram of the doped semiconductor at 300 K. ,Comprehension
Ion implantation is one of the popular methods to dope semiconductors. Discuss the control parameters for this method. ,Comprehension
PEST and SWOT are popular strategy tools. Discuss how the TWO(2) tools can be applied in manufacturing business environment.,Application
Write TWO reasons on the slow adoption of biological control in weed management. ,Comprehension
Create an equation to represent the solution to this problem.,Synthesis
Name a major culture collection.,Knowledge
Differentiate primary and secondary reserves of a bank. List THREE (3) examples for each reserve. ,Analysis
Explain the criteria to be a substantial shareholder in Malaysia. Illustrate what and when a substantial shareholder of a listed company need to comply when he/she holds the directorship in it. ,Evaluation
"Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).",Synthesis
Explain about interactive multimedia.,Comprehension
Classify information systems based on the support IS can provide.,Comprehension
Make a diorama to illustrate an important event.,Application
Integrate training from several sources to solve a problem.,Synthesis
"Jason spends all his income on meat and bread. Assume bread as a giffen good, draw Jason's price consumption curve and demand curve for bread when the price of bread falls. Support your answer with explanation for 3 consumption bundles. ",Application
"Explain the meaning of the expression ""robust model"". Specifically, justify your response if you heard a manager exclaim  'Uh-oh, we're in trouble! The calculated EOQ is wrong; actual demand is 10% greater than estimated'. ",Evaluation
Explain briefly how the aggregation processes could improve the water quality in a water treatment plant. ,Comprehension
Suggest  any  TWO  (2)  efforts  that  organization  may  perform  in  order  to discourage unethical behavior.,Synthesis
Explain the possible flow patterns in the culvert depending on the level of the rain water in the car park and the drain channel. ,Comprehension
Discuss the usefulness of HttpSessionActivationListener in web applications.,Comprehension
Assuming that this monopolist is regulated to produce at that quantity where price equals average total cost. Calculate and find out what is the quantity the monopolist will produce and the price it will charge given this regulatory scenario.,Application
Suggest and justify ONE (1) strategy that your company may consider for marketing its products internationally. ,Evaluation
Explain how RFID provides value to businesses.,Comprehension
Design and make an animal that moves.,Synthesis
Do you devise a systematic approach in order to get larger progressions,Synthesis
The general objective of inventory control is to minimize the total cost of keeping the inventory while making trade-offs. Elaborate the FOUR (4) major categories of cost in inventory control. ,Comprehension
"Discuss the comparison between the microeconomics and macroeconomics field of study in term of production, prices, income and employment. ",Analysis
Name the keyword in an ABAP program that can be used to invoke the debugging mode.,Knowledge
Can you write a new recipe for a tasty dish?,Synthesis
“China has been practicing low exchange rate for previous decades.” Clarify the pros and cons under this practice. ,Analysis
Design and sketch the layout of a CMOS inverter. ,Synthesis
Define FOUR (4) primary roles of advertising in business and society. ,Knowledge
Determine if the two principal components are adequate to explain the variation in the sample that was used to calculate I.,Application
Derive a kinetic model from experimental data.,Application
Name one character. Rewrite the story from this character's point of view.,Synthesis
Argue the case for conducting experimental research involving humans and propose guidelines to ensure that the dignity and welfare of the subjects are maintained.,Evaluation
